,"COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.1","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.2","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.3","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.4"
96,06-06-2020,06-06-2020,​ ​ ​,"1,807(+6.4%)",15(+1)
97,07-06-2020,07-06-2020,​ ​ ​,"1,914(+5.9%)",15(=)
98,08-06-2020,08-06-2020,​ ​ ​,"2,005(+4.8%)",16(+1)
99,09-06-2020,09-06-2020,​ ​ ​,"2,096(+4.5%)",16(=)
100,10-06-2020,10-06-2020,​ ​ ​,"2,161(+3.1%)",17(+1)
101,11-06-2020,11-06-2020,​ ​ ​,"2,244(+3.8%)",18(+1)
102,12-06-2020,12-06-2020,​ ​ ​,"2,322(+3.5%)",19(+1)
103,13-06-2020,13-06-2020,​ ​ ​,"2,407(+3.7%)",19(=)
104,14-06-2020,14-06-2020,​ ​ ​,"2,461(+2.2%)",19(=)
105,15-06-2020,15-06-2020,​ ​ ​,"2,543(+3.3%)",20(+1)
106,16-06-2020,16-06-2020,​ ​ ​,"2,622(+3.1%)",20(=)
107,17-06-2020,17-06-2020,​ ​ ​,"2,697(+2.9%)",20(=)
108,18-06-2020,18-06-2020,​ ​ ​,"2,794(+3.6%)",21(+1)
109,19-06-2020,19-06-2020,​ ​ ​,"2,912(+4.2%)",21(=)
110,20-06-2020,20-06-2020,​ ​ ​,"3,039(+4.4%)",21(=)
111,21-06-2020,21-06-2020,​ ​ ​,"3,172(+4.4%)",21(=)
112,22-06-2020,22-06-2020,​ ​ ​,"3,310(+4.4%)",21(=)
113,23-06-2020,23-06-2020,​ ​ ​,"3,451(+4.3%)",22(+1)
114,24-06-2020,24-06-2020,​ ​ ​,"3,603(+4.4%)",22(=)
115,25-06-2020,25-06-2020,​ ​ ​,"3,726(+3.4%)",22(=)
